0   16.9251
1   5.91442
2   2.48379
3   1.34202
4   0.92866
5   0.762866
6   0.688434
7   0.651233
8   0.630938
9   0.619155
10   0.612031
11   0.607619
12   0.604848
13   0.603092
14   0.601975
15   0.601263
16   0.600808
17   0.600517
18   0.600331
19   0.600212
20   0.600135
21   0.600087
22   0.600055
23   0.600035
24   0.600023
25   0.600015
26   0.600009
27   0.600006
28   0.600004
29   0.600002
30   0.600002
31   0.600001
32   0.600001
33   0.6
34   0.6
35   0.6
36   0.6
37   0.6
38   0.6
